Owner Name 1/,State,County,Country,Number of Acres,Acquisition Year,Lat,lng,Owner Type,Principal Place of Business,Secondary Interest in China,Secondary Interest in Iran,Secondary Interest in Russia,Secondary Intereset in North Korea
TAFT POINT,Colorado,Larimer,999 - NO PREDOMINANT COUNTRY CODE,35.12,2018.0,40.6664,-105.4611,Other,840.0,,,,
Saginaw Valley Farms LLC,Michigan,Gratiot,998 - NO FOREIGN INVESTOR LISTED,188.1,2014.0,43.2927,-84.6049,Other,840.0,,,,
"Forest City Farms, LLC",Illinois,Winnebago,998 - NO FOREIGN INVESTOR LISTED,178.5,2016.0,42.3363,-89.1609,Other,840.0,,,,
"IMPERIAL FARMS, INC.",Washington,Whatcom,999 - NO PREDOMINANT COUNTRY CODE,76.0,2004.0,48.8259,-121.7199,Corporation,840.0,,,,
MOUNTAIN VIEW ORCHARD CORP.,Washington,Grant,999 - NO PREDOMINANT COUNTRY CODE,220.0,1995.0,47.2057,-119.4518,Corporation,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Edgar,998 - NO FOREIGN INVESTOR LISTED,250.0,2013.0,39.6786,-87.7456,Other,840.0,,,,
L.M.F. CORP.,Illinois,Grundy,998 - NO FOREIGN INVESTOR LISTED,320.0,1981.0,41.2851,-88.4185,Corporation,840.0,,,,
COTTON MEADOWS,Texas,Caldwell,999 - NO PREDOMINANT COUNTRY CODE,55.67,2013.0,29.8368,-97.6199,Other,840.0,,,,
"GRIFFIN BAYOU FARMS, LLC",Arkansas,Ashley,998 - NO FOREIGN INVESTOR LISTED,264.97,2014.0,33.1912,-91.7685,Other,840.0,,,,
Just Shine LLC,Illinois,Morgan,998 - NO FOREIGN INVESTOR LISTED,151.15,2016.0,39.7156,-90.2015,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,McDonough,998 - NO FOREIGN INVESTOR LISTED,184.0,2013.0,40.4562,-90.6779,Other,840.0,,,,
"MERRICK COUNTY FARM, LLC",Nebraska,Howard,998 - NO FOREIGN INVESTOR LISTED,480.0,2013.0,41.2201,-98.5171,Other,840.0,,,,
"WILLOWDALE FARMS, LLC",Nebraska,Holt,998 - NO FOREIGN INVESTOR LISTED,1195.0,2013.0,42.4557,-98.7838,Other,840.0,,,,
Saginaw Valley Farms LLC,Michigan,Hillsdale,998 - NO FOREIGN INVESTOR LISTED,189.07,2014.0,41.8878,-84.5929,Other,840.0,,,,
"Nordic Crystal Falls, LLC",Idaho,Benewah,999 - NO PREDOMINANT COUNTRY CODE,1351.25,2015.0,47.2176,-116.6587,Other,840.0,,,,
EQUILON PIPELINE COMPANY LLC,Louisiana,St. James,999 - NO PREDOMINANT COUNTRY CODE,559.0,1998.0,30.027,-90.7931,Corporation,840.0,,,,
"BOUNDARY LINE FARMS, LLC",Arkansas,Ashley,998 - NO FOREIGN INVESTOR LISTED,862.0,2013.0,33.1912,-91.7685,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Iroquois,998 - NO FOREIGN INVESTOR LISTED,223.0,2013.0,40.7473,-87.8243,Other,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Fulton,998 - NO FOREIGN INVESTOR LISTED,181.42,2016.0,41.047,-86.2635,Other,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,Henderson,998 - NO FOREIGN INVESTOR LISTED,154.5,2015.0,40.818,-90.9251,Other,840.0,,,,
"Greeley Dairy Holding, LLC",Kansas,Wallace,998 - NO FOREIGN INVESTOR LISTED,304.98,2020.0,38.9167,-101.7636,Corporation,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,Rock Island,998 - NO FOREIGN INVESTOR LISTED,157.23,2016.0,41.4673,-90.5674,Other,840.0,,,,
Caymus Park Holdings LLC,Iowa,Polk,999 - NO PREDOMINANT COUNTRY CODE,22.0,2008.0,41.6854,-93.5734,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,435.0,2013.0,34.2683,-91.9304,Other,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Lake,998 - NO FOREIGN INVESTOR LISTED,140.03,2014.0,41.4167,-87.3821,Other,840.0,,,,
"NEBLETT FARN, LLC",Mississippi,Coahoma,998 - NO FOREIGN INVESTOR LISTED,303.4,2013.0,34.23,-90.6018,Other,840.0,,,,
"TANN FOREST, LLC",South Carolina,Hampton,998 - NO FOREIGN INVESTOR LISTED,384.0,2019.0,32.7763,-81.1407,Other,840.0,,,,
"Haller Farms, LLC",Ohio,Fayette,998 - NO FOREIGN INVESTOR LISTED,146.73,2016.0,39.5599,-83.4561,Other,840.0,,,,
"HOLLY LANE STUD, N.A., LTD.",New Jersey,Ocean,999 - NO PREDOMINANT COUNTRY CODE,91.0,1992.0,39.8856,-74.2814,Partnership,840.0,,,,
"DRIVER SOLAR, LLC",Arkansas,Mississippi,998 - NO FOREIGN INVESTOR LISTED,5.55,2022.0,35.7624,-90.0522,Other,840.0,,,,
"BORACCI, ALESSANDRO AND CRATO, OLAF",Hawaii,Maui,999 - NO PREDOMINANT COUNTRY CODE,2.0,2007.0,20.8596,-156.565,Individual,0.0,,,,
"Leslie, Jr, Lonnie B",Texas,Matagorda,998 - NO FOREIGN INVESTOR LISTED,21.03,2014.0,28.8212,-96.011,Other,840.0,,,,
"Peyton Creek Wind Farm, LLC",Texas,Matagorda,998 - NO FOREIGN INVESTOR LISTED,15651.14,2018.0,28.8212,-96.011,Other,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Carroll,998 - NO FOREIGN INVESTOR LISTED,141.57,2014.0,40.5828,-86.5635,Other,840.0,,,,
"South Alder Farm, LP",Washington,Whatcom,998 - NO FOREIGN INVESTOR LISTED,84.0,2010.0,48.8259,-121.7199,Individual,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Macon,998 - NO FOREIGN INVESTOR LISTED,140.0,2013.0,39.86,-88.9616,Other,840.0,,,,
"SUNFLOWER COUNTY FARMS, LLC",Mississippi,Leflore,998 - NO FOREIGN INVESTOR LISTED,403.0,2013.0,33.5505,-90.3011,Other,840.0,,,,
COLONY TIMBERLANDS LTD. I,Georgia,Turner,998 - NO FOREIGN INVESTOR LISTED,8180.0,1981.0,31.7164,-83.6241,Partnership,840.0,,,,
"Tanager Timber, LLC",Virginia,Essex,999 - NO PREDOMINANT COUNTRY CODE,579.0,2014.0,37.9428,-76.9519,Other,840.0,,,,
Tesseron Vinyards,California,Sonoma,998 - NO FOREIGN INVESTOR LISTED,34.0,2016.0,38.529,-122.8882,Corporation,840.0,0.0,0.0,0.0,0.0
BURLINGTON RIDGE ASSOCIATES,California,Monterey,999 - NO PREDOMINANT COUNTRY CODE,110.0,1982.0,36.2171,-121.2388,Partnership,840.0,,,,
"B Grain Investment Group, LLC",Illinois,Piatt,998 - NO FOREIGN INVESTOR LISTED,117.06,2010.0,40.0103,-88.5911,Corporation,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,Menard,998 - NO FOREIGN INVESTOR LISTED,254.0,2013.0,40.0274,-89.8022,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Champaign,998 - NO FOREIGN INVESTOR LISTED,167.0,2013.0,40.1401,-88.1992,Other,840.0,,,,
Blenheim Timber LLC,Georgia,Heard,998 - NO FOREIGN INVESTOR LISTED,501.667,2016.0,33.297,-85.1283,Other,840.0,,,,
"SCHAIEVITCH, BERNARDO & BEATRIZ ET AL.",Florida,Lee,999 - NO PREDOMINANT COUNTRY CODE,103.0,1988.0,26.578,-81.8332,Partnership,840.0,,,,
John Hancock Life & Health Insurance Co.,California,Tulare,998 - NO FOREIGN INVESTOR LISTED,162.0,2012.0,36.2202,-118.8005,Corporation,840.0,0.0,0.0,0.0,0.0
"AGE, INC.",Kentucky,Lincoln,999 - NO PREDOMINANT COUNTRY CODE,612.0,1988.0,37.4554,-84.6608,Corporation,840.0,,,,
"DELTA CITY FARMS, LLC",Mississippi,Humphreys,998 - NO FOREIGN INVESTOR LISTED,369.0,2013.0,33.1287,-90.5266,Other,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Wabash,998 - NO FOREIGN INVESTOR LISTED,156.03,2016.0,40.8457,-85.794,Other,840.0,,,,
"CENTRAL 80 FARMS, LLC",Nebraska,Dawson,998 - NO FOREIGN INVESTOR LISTED,157.47,2016.0,40.8699,-99.8196,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Vermilion,998 - NO FOREIGN INVESTOR LISTED,166.0,2013.0,40.1834,-87.7328,Other,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Vermilion,998 - NO FOREIGN INVESTOR LISTED,166.0,2013.0,40.1834,-87.7328,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,424.0,2013.0,34.2683,-91.9304,Other,840.0,,,,
"MT PROPERTIES, LLC",Georgia,Chatham,999 - NO PREDOMINANT COUNTRY CODE,325.0,2012.0,32.0043,-81.1329,Other,840.0,,,,
CHEROKEE COUNTY INVESTMENT ASSOC.,Georgia,Cherokee,999 - NO PREDOMINANT COUNTRY CODE,401.0,1975.0,34.244,-84.4762,Partnership,840.0,,,,
"FLO FUND DOMESTIC SUB 4, LLC",South Carolina,Clarendon,998 - NO FOREIGN INVESTOR LISTED,382.0,2015.0,33.6658,-80.2164,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,288.12,2013.0,34.2683,-91.9304,Other,840.0,,,,
"WALZ, HILDEGART",Washington,Grant,999 - NO PREDOMINANT COUNTRY CODE,125.0,1999.0,47.2057,-119.4518,Corporation,840.0,,,,
Silicon Ranch Corporation,Colorado,Weld,999 - NO PREDOMINANT COUNTRY CODE,136.0,2015.0,40.5548,-104.3925,Corporation,840.0,,,,
"Coonmore, LLC",Illinois,Bureau,998 - NO FOREIGN INVESTOR LISTED,160.0,2015.0,41.4041,-89.5287,Corporation,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Ford,998 - NO FOREIGN INVESTOR LISTED,149.07,2016.0,40.5972,-88.2233,Other,840.0,,,,
"Nordic Crystal Falls, LLC",Idaho,Bonner,998 - NO FOREIGN INVESTOR LISTED,1111.87,2015.0,48.3,-116.6011,Other,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,Mason,998 - NO FOREIGN INVESTOR LISTED,240.0,2013.0,40.2396,-89.9168,Other,840.0,,,,
"HZ Solar I, LLC",Texas,Brazoria,999 - NO PREDOMINANT COUNTRY CODE,3000.7,2019.0,29.1898,-95.4521,Other,840.0,,,,
"SWIFT CURRENT LAND & CATTLE, L.L.C.",Arizona,Yavapai,999 - NO PREDOMINANT COUNTRY CODE,148.0,2005.0,34.5998,-112.5537,Partnership,0.0,,,,
"CENTRAL 80 FARMS, LLC",Nebraska,Dawson,998 - NO FOREIGN INVESTOR LISTED,156.01,2016.0,40.8699,-99.8196,Other,840.0,,,,
"Big Berry Bayou Farms, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,213.87,2014.0,33.267,-91.2937,Other,840.0,,,,
"CENTRAL 80 FARMS, LLC",Nebraska,Dawson,998 - NO FOREIGN INVESTOR LISTED,161.47,2014.0,40.8699,-99.8196,Other,840.0,,,,
"HTFF LS, LLC",Wisconsin,Winnebago,998 - NO FOREIGN INVESTOR LISTED,191.44,2019.0,44.0689,-88.6446,Other,840.0,,,,
"FLO FUND DOMESTIC SUB 5, LLC",South Carolina,Clarendon,998 - NO FOREIGN INVESTOR LISTED,364.06,2015.0,33.6658,-80.2164,Other,840.0,,,,
"Kingfisher Timber, LLC",Florida,Santa Rosa,999 - NO PREDOMINANT COUNTRY CODE,640.03,2019.0,30.7004,-87.0219,Other,840.0,,,,
"DL MULTI-COUNTY FARMS, LLC",Illinois,Fayette,998 - NO FOREIGN INVESTOR LISTED,125.35,2016.0,39.0002,-89.0241,Other,840.0,,,,
"FLO FUND DOMESTIC SUB 2, LLC",South Carolina,Clarendon,998 - NO FOREIGN INVESTOR LISTED,361.28,2015.0,33.6658,-80.2164,Other,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Lake,998 - NO FOREIGN INVESTOR LISTED,154.62,2013.0,41.4167,-87.3821,Other,840.0,,,,
"WINEMILLER FARMS, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,365.0,2013.0,33.267,-91.2937,Other,840.0,,,,
"Tanager Timber, LLC",Virginia,Prince Edward,999 - NO PREDOMINANT COUNTRY CODE,512.0,2014.0,37.2243,-78.4411,Other,840.0,,,,
"GOODING FAMILY FARMS, LLC",Idaho,Canyon,998 - NO FOREIGN INVESTOR LISTED,481.0,2013.0,43.6251,-116.7093,Other,840.0,,,,
"SWIFT CURRENT LAND & CATTLE, L.L.C.",Arizona,Gila,999 - NO PREDOMINANT COUNTRY CODE,147.0,2005.0,33.7997,-110.8116,Partnership,0.0,,,,
"GOLF PARK, L.C.",Florida,Marion,999 - NO PREDOMINANT COUNTRY CODE,281.0,1992.0,29.2102,-82.0567,Other,840.0,,,,
"SCHROETER FAMILY FARM, LLC",Nebraska,Lancaster,998 - NO FOREIGN INVESTOR LISTED,157.89,2016.0,40.7842,-96.6878,Other,840.0,,,,
GREENBROOK FARMS,Florida,Palm Beach,999 - NO PREDOMINANT COUNTRY CODE,48.0,1986.0,26.6476,-80.4655,Corporation,840.0,,,,
"Tanager Timber, LLC",Virginia,Fluvanna,999 - NO PREDOMINANT COUNTRY CODE,493.0,2014.0,37.8419,-78.2773,Other,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,McDonough,998 - NO FOREIGN INVESTOR LISTED,97.89,2014.0,40.4562,-90.6779,Other,840.0,,,,
ISLAND REALTY CORP.,Virginia,Chesapeake,999 - NO PREDOMINANT COUNTRY CODE,904.0,1980.0,36.6778,-76.3023,Corporation,840.0,,,,
"VIRGINIA LAND & TIMBER, L.P.",Virginia,Essex,999 - NO PREDOMINANT COUNTRY CODE,401.0,1989.0,37.9428,-76.9519,Partnership,840.0,,,,
Hancock Timberland Farmland Fund,Arkansas,Jefferson,999 - NO PREDOMINANT COUNTRY CODE,251.12,2018.0,34.2683,-91.9304,Corporation,840.0,,,,
"FS LOUISIANA II, LLC",Louisiana,De Soto,998 - NO FOREIGN INVESTOR LISTED,403.0,2018.0,32.0554,-93.7373,Other,840.0,,,,
"LONG PRAIRIE FARMS, LLC",Arkansas,Lonoke,998 - NO FOREIGN INVESTOR LISTED,299.6,2013.0,34.7543,-91.8888,Other,840.0,,,,
Walnut Ranch Corp.,Florida,Okeechobee,998 - NO FOREIGN INVESTOR LISTED,112.22,2014.0,27.3864,-80.8886,Corporation,840.0,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,240.0,1996.0,37.9348,-121.2714,Other,840.0,,,,
"CENTRAL 80 FARMS, LLC",Nebraska,Dawson,998 - NO FOREIGN INVESTOR LISTED,155.58,2014.0,40.8699,-99.8196,Other,840.0,,,,
B.M.K. RANCHES,Florida,Lake,999 - NO PREDOMINANT COUNTRY CODE,756.0,1981.0,28.7615,-81.7113,Corporation,840.0,,,,
HTFF Reit Inc,Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,375.27,2018.0,34.2683,-91.9304,Corporation,840.0,,,,
"JACKSON COUNTY FARMS, LLC",Arkansas,White,998 - NO FOREIGN INVESTOR LISTED,868.0,2013.0,35.2563,-91.7456,Other,840.0,,,,
Global Ag Properties USA LLC,Illinois,Piatt,999 - NO PREDOMINANT COUNTRY CODE,80.0,2012.0,40.0103,-88.5911,Other,840.0,,,,
"MERRICK COUNTY FARM, LLC",Nebraska,Merrick,998 - NO FOREIGN INVESTOR LISTED,320.0,2013.0,41.169,-98.038,Other,840.0,,,,
"LONG PRAIRIE FARMS, LLC",Arkansas,Lonoke,998 - NO FOREIGN INVESTOR LISTED,339.0,2013.0,34.7543,-91.8888,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Lincoln,998 - NO FOREIGN INVESTOR LISTED,185.73,2015.0,33.957,-91.7344,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Lincoln,998 - NO FOREIGN INVESTOR LISTED,185.73,2015.0,33.957,-91.7344,Other,840.0,,,,
"Forest City Farms, LLC",Illinois,Boone,998 - NO FOREIGN INVESTOR LISTED,115.62,2016.0,42.3231,-88.8234,Other,840.0,,,,
"ANACACHO WIND FARM, LLC",Texas,Kinney,998 - NO FOREIGN INVESTOR LISTED,11800.93,2012.0,29.3502,-100.418,Other,840.0,,,,
S.D. WARREN CO.,Maine,Somerset,999 - NO PREDOMINANT COUNTRY CODE,168.0,2004.0,45.5139,-69.9589,Corporation,840.0,,,,
Silicon Ranch Corporation,Colorado,Weld,999 - NO PREDOMINANT COUNTRY CODE,70.0,2015.0,40.5548,-104.3925,Corporation,840.0,,,,
"FIA TIMBER PARTNERS II, LP",Alabama,Tallapoosa,999 - NO PREDOMINANT COUNTRY CODE,442.0,2013.0,32.8624,-85.7975,Partnership,840.0,,,,
"Count Nesselrode Forest, LLC",South Carolina,Orangeburg,998 - NO FOREIGN INVESTOR LISTED,271.7,2014.0,33.439,-80.8003,Other,840.0,,,,
Hanson Aggregates Pennsylvania LLC,Maryland,Frederick,999 - NO PREDOMINANT COUNTRY CODE,26.0,2008.0,39.4722,-77.398,Corporation,840.0,0.0,0.0,0.0,0.0
DOVEX FRUIT CO.,Washington,Grant,999 - NO PREDOMINANT COUNTRY CODE,85.0,1999.0,47.2057,-119.4518,Corporation,840.0,,,,
"HEARTLAND LYSINE, INC.",Iowa,Monroe,999 - NO PREDOMINANT COUNTRY CODE,177.0,1984.0,41.0298,-92.869,Corporation,840.0,,,,
Ying Yu and Juying Wu,Washington,Whatcom,999 - NO PREDOMINANT COUNTRY CODE,16.7,2010.0,48.8259,-121.7199,Partnership,840.0,,,,
"SUNFLOWER COUNTY FARMS, LLC",Mississippi,Bolivar,998 - NO FOREIGN INVESTOR LISTED,323.0,2013.0,33.7971,-90.8805,Other,840.0,,,,
LEFRAFO LLC,Georgia,Taylor,998 - NO FOREIGN INVESTOR LISTED,415.94,2018.0,32.5555,-84.2505,Other,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Porter,998 - NO FOREIGN INVESTOR LISTED,97.3,2013.0,41.4603,-87.0672,Other,840.0,,,,
"FLOWERING HILLS FARM, INC.",Florida,Alachua,999 - NO PREDOMINANT COUNTRY CODE,473.0,1981.0,29.6747,-82.3577,Corporation,840.0,,,,
ACP PENNSVILLE ASSOCIATES,New Jersey,Salem,999 - NO PREDOMINANT COUNTRY CODE,41.0,1992.0,39.5876,-75.3491,Partnership,840.0,,,,
CHEROKEE ALTOONA INVESTMENT ASSOC.,Georgia,Cherokee,999 - NO PREDOMINANT COUNTRY CODE,313.0,1975.0,34.244,-84.4762,Partnership,840.0,,,,
Cutlass Solar II LLC,Texas,Fort Bend,998 - NO FOREIGN INVESTOR LISTED,1107.74,2022.0,29.5275,-95.7709,Other,840.0,0.0,0.0,0.0,0.0
GREENE ROAD INVESTMENT TRACT,Texas,Dallas,999 - NO PREDOMINANT COUNTRY CODE,76.0,1985.0,32.7666,-96.7778,Partnership,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Henry,998 - NO FOREIGN INVESTOR LISTED,112.61,2015.0,39.9311,-85.3964,Other,840.0,,,,
"WINEMILLER FARMS, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,304.0,2013.0,33.267,-91.2937,Other,840.0,,,,
"Wilderness Valley Farms, LLC",Oregon,Jefferson,998 - NO FOREIGN INVESTOR LISTED,161.51,2016.0,44.6294,-121.1761,Other,840.0,,,,
Silicon Ranch Corporation,Colorado,Weld,999 - NO PREDOMINANT COUNTRY CODE,75.0,2015.0,40.5548,-104.3925,Corporation,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Madison,998 - NO FOREIGN INVESTOR LISTED,100.64,2015.0,40.1616,-85.7194,Other,840.0,,,,
B.M.K. RANCHES,Florida,Orange,999 - NO PREDOMINANT COUNTRY CODE,635.0,1981.0,28.5144,-81.3235,Corporation,840.0,,,,
"Kula Bamboo & Landscaping Company, LTC.",Hawaii,Maui,998 - NO FOREIGN INVESTOR LISTED,4.089,2010.0,20.8596,-156.565,Corporation,840.0,,,,
LOMAS PACKAGE N.V.,Texas,Rockwall,999 - NO PREDOMINANT COUNTRY CODE,1023.0,1981.0,32.8978,-96.4079,Corporation,840.0,,,,
SHARP RANCH PROP.,Arizona,Yavapai,998 - NO FOREIGN INVESTOR LISTED,387.0,1978.0,34.5998,-112.5537,Partnership,840.0,,,,
"PEOPLES NAT'L BANK OF WARRENTON, TRUSTEE",Virginia,Rappahannock,998 - NO FOREIGN INVESTOR LISTED,224.0,1988.0,38.6848,-78.1592,Trust,840.0,,,,
"EDELWEISS, INC.& MARISA, INC.",California,Solano,999 - NO PREDOMINANT COUNTRY CODE,303.0,1976.0,38.27,-121.9328,Partnership,840.0,,,,
FLORIDA MANAGEMENT & DEVELOPMENT CORP.,Florida,Lee,999 - NO PREDOMINANT COUNTRY CODE,680.0,1982.0,26.578,-81.8332,Corporation,840.0,,,,
"FULL MOON FARMS, LLC",Indiana,Porter,998 - NO FOREIGN INVESTOR LISTED,191.0,2013.0,41.4603,-87.0672,Other,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,McDonough,998 - NO FOREIGN INVESTOR LISTED,80.66,2016.0,40.4562,-90.6779,Other,840.0,,,,
"Monster, Gerrit and Laurelle",Wisconsin,Jackson,999 - NO PREDOMINANT COUNTRY CODE,154.0,2008.0,44.3192,-90.8052,Individual,0.0,,,,
BOISE CASCADE TIMBERLANDS-SOUTHEAST,South Carolina,Lancaster,998 - NO FOREIGN INVESTOR LISTED,1149.0,1981.0,34.6867,-80.7054,Other,840.0,,,,
NORTHERN TRUST CO. #2-52328,Illinois,De Kalb,998 - NO FOREIGN INVESTOR LISTED,376.0,1987.0,41.8935,-88.7703,Trust,840.0,,,,
HTFF Reit Inc,Alabama,Randolph,998 - NO FOREIGN INVESTOR LISTED,365.0,2018.0,33.2938,-85.4591,Corporation,840.0,,,,
"FIA TIMBER PARTNERS II, LP",Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,375.0,2013.0,32.8479,-86.7188,Partnership,840.0,,,,
"Walka, Inc",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,160.0,2016.0,33.267,-91.2937,Corporation,840.0,,,,
"SUNFLOWER COUNTY FARMS, LLC",Mississippi,Sunflower,998 - NO FOREIGN INVESTOR LISTED,276.0,2013.0,33.6023,-90.5886,Other,840.0,,,,
"SUNFLOWER COUNTY FARMS, LLC",Mississippi,Coahoma,998 - NO FOREIGN INVESTOR LISTED,263.0,2013.0,34.23,-90.6018,Other,840.0,,,,
"Big Berry Bayou Farms, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,192.41,2015.0,33.267,-91.2937,Other,840.0,,,,
"Cadman Materials, Inc.",Oregon,Clackamas,998 - NO FOREIGN INVESTOR LISTED,17.0,2020.0,45.188,-122.2208,Corporation,840.0,,,,
KIRSTEIN GOEGH & FASEIPTER PARTNERSHIP,Texas,Hidalgo,999 - NO PREDOMINANT COUNTRY CODE,105.0,1988.0,26.3969,-98.1812,Partnership,840.0,,,,
FUTURE LAND INV. CORP.,Florida,Dade,999 - NO PREDOMINANT COUNTRY CODE,150.0,1974.0,25.615,-80.5624,Corporation,840.0,,,,
"VIKTORIA FARMS, INC.",New York,Oneida,998 - NO FOREIGN INVESTOR LISTED,278.0,1989.0,43.2418,-75.4358,Corporation,840.0,,,,
"MWF IV 4-States, LLC",Mississippi,Lauderdale,999 - NO PREDOMINANT COUNTRY CODE,304.15,2018.0,32.4043,-88.6625,Other,840.0,,,,
"TOM BIGBEE FARMS, INC.",Mississippi,Monroe,999 - NO PREDOMINANT COUNTRY CODE,1521.0,1975.0,33.8923,-88.4805,Corporation,840.0,,,,
"ARKANSAS BAYOU FARMS, LLC",Arkansas,Chicot,998 - NO FOREIGN INVESTOR LISTED,254.0,2013.0,33.267,-91.2937,Other,840.0,,,,
Ott-Felten Holdings LLC,Georgia,Morgan,999 - NO PREDOMINANT COUNTRY CODE,116.0,2009.0,33.5909,-83.4923,Other,840.0,,,,
"ISE Realty Group, Inc.",Maryland,Kent,998 - NO FOREIGN INVESTOR LISTED,51.0,2021.0,39.2556,-76.039,Corporation,840.0,,,,
"Wilderness Valley Farms, LLC",Oregon,Jefferson,998 - NO FOREIGN INVESTOR LISTED,152.38,2015.0,44.6294,-121.1761,Other,840.0,,,,
"FJ Battery, LLC",Texas,Fort Bend,999 - NO PREDOMINANT COUNTRY CODE,22.98,2021.0,29.5275,-95.7709,Other,840.0,,,,
B&L Delta Bay LLC,Arkansas,Cross,999 - NO PREDOMINANT COUNTRY CODE,132.23,2014.0,35.2957,-90.7711,Other,840.0,,,,
NORTHERN TRUST CO. #2-44267,Idaho,Canyon,998 - NO FOREIGN INVESTOR LISTED,444.0,1975.0,43.6251,-116.7093,Trust,840.0,,,,
"Sun Orchard Real Estate 2, LLC",California,Tulare,998 - NO FOREIGN INVESTOR LISTED,22.4546,2014.0,36.2202,-118.8005,Other,840.0,,,,
"QUAIL INTERNATIONAL, INC.",Georgia,Greene,999 - NO PREDOMINANT COUNTRY CODE,393.0,1983.0,33.5788,-83.1667,Corporation,840.0,,,,
MACE Farm Trust,Illinois,De Kalb,999 - NO PREDOMINANT COUNTRY CODE,175.0,1991.0,41.8935,-88.7703,Trust,840.0,,,,
"OAKGROVE FARMS, INC.",Texas,Red River,999 - NO PREDOMINANT COUNTRY CODE,528.0,1984.0,33.6207,-95.0503,Corporation,840.0,,,,
"LONG PRAIRIE FARMS, LLC",Arkansas,Lonoke,998 - NO FOREIGN INVESTOR LISTED,240.0,2013.0,34.7543,-91.8888,Other,840.0,,,,
"WEST CENTRAL OHIO FARMS, LLC",Ohio,Madison,998 - NO FOREIGN INVESTOR LISTED,150.0,2013.0,39.8942,-83.4005,Other,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,McDonough,998 - NO FOREIGN INVESTOR LISTED,93.48,2015.0,40.4562,-90.6779,Other,840.0,,,,
"BRICKYARD FARM, LLC",Illinois,Warren,998 - NO FOREIGN INVESTOR LISTED,73.78,2016.0,40.8488,-90.615,Other,840.0,,,,
OTWELL FARMS JOINT VENTURE,Arkansas,Poinsett,998 - NO FOREIGN INVESTOR LISTED,511.0,1991.0,35.574,-90.663,Partnership,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Jefferson,998 - NO FOREIGN INVESTOR LISTED,230.0,2013.0,34.2683,-91.9304,Other,840.0,,,,
"LINCOLN COUNTY FARMS, LLC",Arkansas,Lonoke,998 - NO FOREIGN INVESTOR LISTED,227.0,2013.0,34.7543,-91.8888,Other,840.0,,,,
"Tanager Timber, LLC",Virginia,Northumberland,999 - NO PREDOMINANT COUNTRY CODE,250.0,2016.0,37.8873,-76.4195,Other,840.0,,,,
HTFF Reit Inc,Georgia,Laurens,998 - NO FOREIGN INVESTOR LISTED,369.0,2018.0,32.4636,-82.9222,Corporation,840.0,,,,
"CHAMPAIGN COUNTY FARMS, LLC",Illinois,Vermilion,998 - NO FOREIGN INVESTOR LISTED,96.0,2013.0,40.1834,-87.7328,Other,840.0,,,,
"Nordic Crystal Falls, LLC",Idaho,Kootenai,999 - NO PREDOMINANT COUNTRY CODE,635.73,2015.0,47.6744,-116.7018,Other,840.0,,,,
